"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred_train"
"144",6692.143668,"No","Premium","High School or Below","Employed","M",63221,"Suburban","Married",168,28,49,0,1,"Corporate Auto","Corporate L3","Offer3","Agent",806.4,"SUV","Medsize",9819.71636213147
"146",3660.770258,"No","Extended","Bachelor","Employed","M",64495,"Urban","Married",92,34,30,0,1,"Corporate Auto","Corporate L2","Offer4","Web",251.992083,"Four-Door Car","Medsize",5752.06178667889
"147",7928.829252,"No","Basic","College","Unemployed","F",0,"Suburban","Married",72,7,75,0,2,"Corporate Auto","Corporate L3","Offer1","Call Center",345.6,"Four-Door Car","Medsize",5169.61060753337
"151",2659.337982,"No","Basic","Bachelor","Employed","M",24495,"Suburban","Single",70,29,65,0,1,"Personal Auto","Personal L2","Offer4","Branch",336,"Four-Door Car","Small",4752.93794259855
"152",8564.768226,"Yes","Basic","High School or Below","Employed","M",95697,"Rural","Married",107,29,29,0,9,"Personal Auto","Personal L3","Offer2","Agent",178.006524,"Sports Car","Medsize",8776.37984259061
"153",4885.162511,"No","Extended","High School or Below","Disabled","M",26372,"Suburban","Married",126,11,7,0,1,"Personal Auto","Personal L3","Offer4","Agent",604.8,"SUV","Medsize",7912.29811434172
"154",9753.307106,"No","Extended","Bachelor","Medical Leave","F",17514,"Rural","Married",127,2,5,0,3,"Personal Auto","Personal L1","Offer1","Branch",8.312729,"SUV","Medsize",8609.39928365495
"155",2946.153697,"No","Basic","Bachelor","Employed","F",89270,"Urban","Single",74,17,90,0,1,"Personal Auto","Personal L3","Offer2","Branch",316.599228,"Four-Door Car","Medsize",4670.94827995906
"157",3517.385764,"No","Extended","College","Employed","M",51814,"Rural","Single",92,28,89,0,1,"Personal Auto","Personal L2","Offer3","Agent",56.300724,"Four-Door Car","Medsize",5752.06178667889
"158",9743.350113,"No","Extended","Bachelor","Employed","F",24028,"Suburban","Married",82,14,27,0,2,"Personal Auto","Personal L2","Offer2","Agent",393.6,"Four-Door Car","Small",5360.1092660067
"159",3873.647046,"Yes","Basic","College","Retired","M",28142,"Suburban","Married",105,18,50,0,1,"Personal Auto","Personal L3","Offer2","Agent",701.708239,"Sports Car","Medsize",6078.80460570864
"160",7649.28199,"No","Basic","Bachelor","Employed","F",52705,"Rural","Married",64,14,8,1,2,"Personal Auto","Personal L2","Offer1","Web",128.705563,"Two-Door Car","Large",4655.74336772955
"163",8714.922135,"Yes","Basic","College","Unemployed","F",0,"Suburban","Divorced",118,14,64,0,4,"Personal Auto","Personal L3","Offer1","Agent",566.4,"SUV","Medsize",8526.5100265496
"164",2248.449633,"Yes","Basic","Bachelor","Retired","F",24910,"Suburban","Single",63,7,63,1,1,"Personal Auto","Personal L1","Offer1","Branch",347.857619,"Four-Door Car","Medsize",4284.4854229802
"165",7416.197322,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Single",77,15,12,2,2,"Personal Auto","Personal L3","Offer1","Agent",554.4,"Four-Door Car","Medsize",5095.5852518206
"166",7771.158973,"No","Basic","Master","Medical Leave","M",21876,"Suburban","Married",68,12,28,0,2,"Personal Auto","Personal L3","Offer1","Agent",465.41477,"Four-Door Car","Small",4987.95172679149
"167",6968.3419,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",69,33,61,1,2,"Personal Auto","Personal L3","Offer1","Agent",496.8,"Four-Door Car","Small",4882.8169686569
"168",4250.282624,"Yes","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",61,17,1,1,7,"Personal Auto","Personal L1","Offer1","Agent",292.8,"Four-Door Car","Small",6148.71532999254
"171",2413.139714,"No","Basic","College","Medical Leave","M",27501,"Suburban","Married",63,20,0,0,1,"Personal Auto","Personal L1","Offer4","Branch",542.319401,"Four-Door Car","Medsize",4435.03490130026
"172",15363.84716,"No","Premium","Doctor","Disabled","F",15897,"Urban","Divorced",101,30,99,0,2,"Personal Auto","Personal L3","Offer2","Agent",303.148399,"Four-Door Car","Medsize",6222.98894953064
"173",8456.961887,"No","Basic","College","Employed","F",25141,"Rural","Divorced",73,12,4,1,2,"Personal Auto","Personal L3","Offer3","Agent",25.438063,"Four-Door Car","Medsize",5064.47584939878
"174",2189.642522,"No","Basic","College","Unemployed","F",0,"Suburban","Married",61,5,46,3,1,"Personal Auto","Personal L2","Offer3","Agent",292.8,"Four-Door Car","Small",3892.55702596914
"175",5780.182197,"Yes","Basic","High School or Below","Employed","M",51066,"Suburban","Single",74,23,0,0,8,"Personal Auto","Personal L2","Offer2","Call Center",787.993313,"Four-Door Car","Medsize",6951.85085190622
"176",4639.981638,"No","Basic","Bachelor","Employed","F",28358,"Rural","Married",117,24,37,0,1,"Personal Auto","Personal L2","Offer2","Call Center",84.024413,"Sports Car","Medsize",6623.78124793428
"177",4465.335703,"No","Basic","College","Employed","F",61846,"Rural","Married",112,1,48,0,1,"Personal Auto","Personal L2","Offer2","Agent",215.8182,"SUV","Medsize",7012.84348836378
"178",5968.118877,"No","Basic","Bachelor","Employed","F",90972,"Urban","Married",74,3,47,0,8,"Personal Auto","Personal L3","Offer2","Call Center",232.926145,"Two-Door Car","Medsize",6951.85085190622
"179",5097.763337,"No","Basic","College","Unemployed","F",0,"Suburban","Single",74,3,95,0,7,"Personal Auto","Personal L3","Offer3","Web",532.8,"Two-Door Car","Medsize",6889.65617072371
"181",12252.60179,"No","Premium","Bachelor","Unemployed","F",0,"Suburban","Married",115,12,17,1,2,"Personal Auto","Personal L2","Offer1","Agent",552,"Four-Door Car","Medsize",6971.89409718852
"182",16936.27147,"No","Extended","Bachelor","Employed","F",39411,"Suburban","Married",217,4,29,2,4,"Personal Auto","Personal L3","Offer3","Branch",1122.658899,"Luxury Car","Medsize",12105.3325269142
"183",4892.435461,"No","Basic","High School or Below","Employed","M",21709,"Suburban","Married",62,28,17,0,3,"Personal Auto","Personal L2","Offer2","Branch",408.374746,"Four-Door Car","Large",4777.65808686118
"184",9942.304791,"No","Extended","Bachelor","Employed","M",67890,"Suburban","Single",85,23,57,0,2,"Personal Auto","Personal L2","Offer4","Agent",408,"Four-Door Car","Small",5760.00196994448
"185",3735.838129,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",110,3,16,0,1,"Personal Auto","Personal L3","Offer1","Agent",792,"SUV","Medsize",7185.6625913742
"188",5470.060561,"Yes","Extended","Bachelor","Employed","F",54507,"Suburban","Married",138,20,11,0,1,"Personal Auto","Personal L1","Offer2","Agent",702.990032,"SUV","Medsize",8193.626213186
"189",2978.84601,"No","Extended","Bachelor","Employed","F",64586,"Urban","Single",76,3,17,0,1,"Personal Auto","Personal L1","Offer3","Branch",206.837111,"Four-Door Car","Medsize",5025.42626371137
"190",6410.967544,"No","Extended","College","Employed","M",61709,"Urban","Married",82,5,41,2,7,"Personal Auto","Personal L3","Offer3","Branch",275.395894,"Four-Door Car","Medsize",6951.87497556735
"191",4479.023088,"No","Basic","Master","Employed","M",94656,"Urban","Married",111,12,79,1,1,"Special Auto","Special L2","Offer4","Web",459.738128,"SUV","Medsize",7080.52783323961
"193",2764.493659,"No","Basic","Bachelor","Employed","M",61085,"Suburban","Married",70,27,34,1,1,"Personal Auto","Personal L3","Offer2","Branch",336,"Two-Door Car","Medsize",4338.73992089712
"195",6889.097981,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Divorced",63,6,12,0,2,"Personal Auto","Personal L2","Offer1","Branch",302.4,"Four-Door Car","Small",4760.87812586414
"197",9951.707743,"No","Premium","High School or Below","Employed","M",56855,"Suburban","Single",255,12,1,0,1,"Corporate Auto","Corporate L3","Offer4","Web",1836,"Luxury SUV","Medsize",13154.6611769105
"198",2521.555686,"No","Basic","Bachelor","Employed","M",53703,"Rural","Single",67,3,45,2,1,"Special Auto","Special L3","Offer1","Branch",67.632476,"Four-Door Car","Medsize",4315.59482540202
"200",6047.02516,"Yes","Extended","College","Employed","M",20396,"Suburban","Married",76,15,60,1,4,"Personal Auto","Personal L1","Offer1","Branch",364.8,"Four-Door Car","Medsize",5852.40645908295
"201",11140.30248,"No","Premium","Master","Disabled","F",27679,"Suburban","Single",150,30,28,0,3,"Personal Auto","Personal L1","Offer1","Call Center",722.486994,"SUV","Medsize",9653.93784792076
"202",4334.064096,"Yes","Extended","Bachelor","Retired","F",23904,"Suburban","Single",123,1,67,3,1,"Personal Auto","Personal L3","Offer1","Agent",590.4,"SUV","Medsize",7324.40551882514
"205",3688.110888,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",63,0,54,3,7,"Personal Auto","Personal L2","Offer1","Call Center",669.682001,"Four-Door Car","Medsize",5938.44581372336
"206",12067.45599,"No","Basic","College","Unemployed","M",0,"Suburban","Single",116,14,35,0,2,"Personal Auto","Personal L2","Offer1","Agent",1284.093173,"SUV","Medsize",7783.9941370509
"208",15014.0927,"No","Premium","College","Employed","M",32961,"Suburban","Married",190,13,53,0,3,"Corporate Auto","Corporate L2","Offer1","Branch",912,"SUV","Small",11470.5266553396
