"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred","stu_res","stud.del.resids","leverage","cooks_dis","dffits","dfbetas.(Intercept)","dfbetas.I(Coverage == ""Premium"")TRUE","dfbetas.I(EmploymentStatus == ""Unemployed"")TRUE","dfbetas.Monthly.Premium.Auto","dfbetas.Number.of.Policies","dfbetas.I(Vehicle.Class == ""SUV"")TRUE","cov_ratio"
"34", 5018.885,"No","Basic","Bachelor","Employed","M",54500,"Suburban","Married", 63,28,17,0,6,"Corporate Auto","Corporate L2","Offer1","Agent", 302.400000,"Two-Door Car","Small", 6049.105,-0.3511746248,-0.3511746248,0.0014286976,2.941766e-05,-1.328323e-02,-4.297389e-03,-2.443082e-04, 4.515202e-03, 4.521895e-03,-8.427031e-03, 5.135572e-04,1.0035336
"35", 4932.916,"No","Basic","Bachelor","Employed","F",37260,"Rural","Married", 62,19,42,0,8,"Corporate Auto","Corporate L1","Offer3","Web",  15.437681,"Four-Door Car","Medsize", 6636.320,-0.5809808664,-0.5809808664,0.0024979318,1.409139e-04,-2.907336e-02,-4.105096e-03,-8.503715e-04, 7.833140e-03, 7.722070e-03,-2.343198e-02, 4.446392e-04,1.0040945
"37",13891.736,"No","Premium","Bachelor","Employed","M",42305,"Suburban","Married",117,10,62,0,2,"Personal Auto","Personal L3","Offer1","Agent", 561.600000,"Four-Door Car","Small", 7763.383, 2.0943518517, 2.0943518517,0.0048435889,3.553350e-03, 1.461126e-01, 2.126585e-02, 1.264887e-01,-2.373029e-02,-1.296565e-02,-1.185101e-02,-7.568568e-03,0.9967648
"40", 2521.633,"No","Basic","High School or Below","Employed","M",53243,"Rural","Divorced", 66, 4,15,2,1,"Personal Auto","Personal L3","Offer1","Call Center", 157.397849,"Four-Door Car","Medsize", 4601.526,-0.7089088979,-0.7089088979,0.0010771551,9.033625e-05,-2.327896e-02,-1.760152e-02, 9.891276e-04, 8.020674e-03, 8.125852e-03, 1.189191e-02, 2.406633e-03,1.0022705
"55", 4293.997,"No","Premium","Bachelor","Disabled","M",16701,"Suburban","Married",113,20,26,0,1,"Personal Auto","Personal L2","Offer1","Branch", 831.625979,"Four-Door Car","Small", 7285.665,-1.0218226086,-1.0218226086,0.0050520667,8.836105e-04,-7.281316e-02,-1.617357e-02,-6.292256e-02, 1.122976e-02, 9.733097e-03, 1.421600e-02, 2.305702e-03,1.0049716
"58", 3958.003,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Married",101,29,12,0,1,"Personal Auto","Personal L2","Offer1","Call Center", 484.800000,"SUV","Small", 6429.297,-0.8434678351,-0.8434678351,0.0037255393,4.434513e-04,-5.157908e-02,-9.928720e-03,-8.468064e-04,-2.848428e-02, 1.089280e-02, 1.411935e-02,-3.588353e-02,1.0044327
"63", 3339.765,"No","Extended","Bachelor","Unemployed","M",    0,"Suburban","Single", 94,20,53,0,1,"Personal Auto","Personal L3","Offer1","Agent", 863.327324,"Two-Door Car","Small", 5342.077,-0.6827959171,-0.6827959171,0.0020551623,1.600526e-04,-3.098566e-02, 5.672276e-04, 7.311120e-03,-2.299029e-02,-6.896762e-03, 1.229413e-02, 9.497311e-03,1.0033400
"65", 6613.974,"No","Basic","Bachelor","Unemployed","F",    0,"Suburban","Single", 63,21,28,0,2,"Personal Auto","Personal L3","Offer3","Branch", 676.391482,"Four-Door Car","Large", 4387.824, 0.7590901527, 0.7590901527,0.0019194784,1.847254e-04, 3.328911e-02, 1.323088e-02, 1.852706e-04, 2.548890e-02,-1.066271e-02,-7.893242e-03,-1.523904e-03,1.0029396
"72", 2614.474,"No","Basic","Master","Employed","M",65186,"Rural","Married", 65,29,27,0,1,"Personal Auto","Personal L2","Offer2","Web",   5.434505,"Two-Door Car","Large", 4560.612,-0.6633179649,-0.6633179649,0.0010957395,8.045865e-05,-2.196916e-02,-1.692294e-02, 6.958006e-04, 7.500167e-03, 8.123835e-03, 1.113924e-02, 2.000747e-03,1.0024392
"74", 6781.270,"No","Basic","Bachelor","Unemployed","M",    0,"Suburban","Single",104,30, 3,1,5,"Personal Auto","Personal L3","Offer1","Agent", 982.399613,"Sports Car","Medsize", 7007.468,-0.0771319047,-0.0771319047,0.0021779232,2.165103e-06,-3.603535e-03, 1.495502e-03, 1.028279e-03,-2.495248e-03,-1.442888e-03,-1.145406e-03, 1.315909e-03,1.0045693
"75", 4974.802,"Yes","Basic","Bachelor","Employed","M",75644,"Suburban","Divorced", 65, 5,68,3,9,"Personal Auto","Personal L3","Offer2","Branch", 467.803638,"Two-Door Car","Medsize", 7073.124,-0.7159408959,-0.7159408959,0.0031658613,2.713667e-04,-4.034704e-02,-1.492269e-03,-4.544200e-04, 9.895377e-03, 7.696887e-03,-3.477509e-02, 1.247898e-03,1.0043465
"76", 8591.605,"No","Basic","Bachelor","Employed","M",38984,"Suburban","Married", 73,27,38,0,2,"Personal Auto","Personal L3","Offer2","Branch", 350.400000,"Four-Door Car","Small", 5201.984, 1.1553334765, 1.1553334765,0.0007765423,1.728654e-04, 3.220762e-02, 1.977322e-02,-4.169151e-03,-1.348858e-02,-6.678283e-03,-9.800152e-03,-6.798866e-03,0.9999760
"78", 8009.473,"No","Basic","College","Employed","M",20961,"Suburban","Married", 67,20,33,0,2,"Personal Auto","Personal L1","Offer2","Agent", 321.600000,"Four-Door Car","Medsize", 4956.503, 1.0405752974, 1.0405752974,0.0008530630,1.540753e-04, 3.040531e-02, 2.207540e-02,-1.593178e-03,-1.210448e-02,-1.091372e-02,-8.940124e-03,-3.760279e-03,1.0006556
"81", 8025.229,"No","Extended","College","Unemployed","F",    0,"Rural","Single", 77,20,26,0,2,"Personal Auto","Personal L3","Offer3","Branch",  25.807685,"Two-Door Car","Large", 4960.613, 1.0450066998, 1.0450066998,0.0017318720,3.157472e-04, 4.352646e-02, 8.212947e-03,-4.813348e-03, 3.498124e-02,-3.193822e-03,-1.060018e-02,-7.638446e-03,1.0015143
"92",10656.882,"Yes","Extended","Bachelor","Employed","F",72540,"Suburban","Married", 88, 7, 3,0,2,"Corporate Auto","Corporate L3","Offer2","Call Center", 631.743039,"Two-Door Car","Medsize", 5815.686, 1.6505538229, 1.6505538229,0.0007789838,3.537338e-04, 4.608538e-02, 1.133449e-02,-1.452927e-02,-1.944782e-02, 9.883566e-03,-1.355251e-02,-1.908520e-02,0.9966611
"95", 5313.294,"No","Extended","High School or Below","Unemployed","F",    0,"Suburban","Single", 77, 8,10,1,9,"Personal Auto","Personal L2","Offer1","Agent", 863.394700,"Four-Door Car","Medsize", 7159.061,-0.6299670398,-0.6299670398,0.0038367293,2.548118e-04,-3.909607e-02, 7.976787e-03, 1.975724e-03,-1.973018e-02, 1.095170e-03,-2.965583e-02, 3.905782e-03,1.0053012
"97", 8375.354,"No","Basic","Master","Medical Leave","F",17780,"Rural","Married",109,12,18,0,9,"Personal Auto","Personal L3","Offer1","Branch", 132.588288,"SUV","Medsize", 9674.142,-0.4435063408,-0.4435063408,0.0049274611,1.623888e-04,-3.120930e-02, 4.716101e-03, 2.110013e-04, 6.221531e-03, 2.088221e-03,-2.242759e-02,-1.805881e-02,1.0068853
"98", 4801.662,"No","Basic","Bachelor","Medical Leave","M",18107,"Suburban","Married", 62,29,11,0,8,"Personal Auto","Personal L2","Offer1","Agent", 297.600000,"Four-Door Car","Medsize", 6636.320,-0.6257547753,-0.6257547753,0.0024979318,1.634667e-04,-3.131393e-02,-4.421459e-03,-9.159063e-04, 8.436809e-03, 8.317180e-03,-2.523779e-02, 4.789058e-04,1.0039646
"106", 6966.695,"No","Extended","Bachelor","Employed","F",41837,"Rural","Married", 88,29,93,0,9,"Personal Auto","Personal L3","Offer1","Call Center", 142.062768,"Four-Door Car","Small", 8014.134,-0.3573443284,-0.3573443284,0.0031040003,6.628962e-05,-1.993989e-02, 4.876722e-03, 2.622475e-03, 4.997869e-03,-2.614175e-03,-1.750561e-02, 3.737672e-03,1.0052096
"113", 8492.699,"No","Basic","College","Employed","M",27804,"Suburban","Married",109,19,54,0,7,"Personal Auto","Personal L3","Offer2","Branch", 784.800000,"SUV","Medsize", 9046.014,-0.1888074578,-0.1888074578,0.0035473153,2.115910e-05,-1.126525e-02, 8.990091e-04, 1.693040e-04, 2.528611e-03, 9.596251e-04,-6.454355e-03,-7.622326e-03,1.0058783
"116", 7290.070,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Married",102,11,70,1,3,"Corporate Auto","Corporate L2","Offer1","Agent", 489.600000,"SUV","Medsize", 7098.339, 0.0654200249, 0.0654200249,0.0034275061,2.454211e-06, 3.836590e-03, 3.415594e-04, 7.054421e-05, 2.167526e-03,-7.686468e-04,-2.427424e-05, 2.778819e-03,1.0058329
"117", 4772.944,"Yes","Extended","High School or Below","Retired","M",20993,"Suburban","Divorced",133,35,90,0,1,"Personal Auto","Personal L3","Offer2","Agent", 638.400000,"SUV","Medsize", 8143.553,-1.1499714894,-1.1499714894,0.0027236908,6.018792e-04,-6.009775e-02, 4.122282e-03, 1.204964e-02, 1.343466e-02,-1.453069e-02, 1.658344e-02,-3.484791e-02,1.0019580
"121", 2981.876,"No","Extended","College","Unemployed","M",    0,"Suburban","Married", 83,26,89,0,1,"Personal Auto","Personal L2","Offer3","Web", 582.679087,"Two-Door Car","Medsize", 4892.029,-0.6513314849,-0.6513314849,0.0019554885,1.385664e-04,-2.883067e-02,-4.356551e-03, 4.491500e-03,-2.198115e-02,-9.541961e-04, 1.185684e-02, 6.345487e-03,1.0033406
"124",15023.599,"No","Basic","High School or Below","Employed","M",28262,"Suburban","Single",192, 9,77,0,3,"Personal Auto","Personal L3","Offer3","Web", 921.600000,"Luxury SUV","Medsize",10384.749, 1.5875443599, 1.5875443599,0.0083712342,3.543869e-03, 1.458633e-01,-1.069500e-01,-7.108200e-02,-2.046293e-02, 1.398726e-01, 2.925397e-03,-8.091066e-02,1.0047819
"125", 2509.108,"No","Basic","Bachelor","Employed","F",33555,"Rural","Married", 63,17,11,0,1,"Personal Auto","Personal L3","Offer1","Agent", 101.896450,"Four-Door Car","Medsize", 4478.785,-0.6713562976,-0.6713562976,0.0011365987,8.549704e-05,-2.264663e-02,-1.804584e-02, 2.392228e-04, 7.581585e-03, 9.276081e-03, 1.129878e-02, 1.516669e-03,1.0024545
"129",11790.496,"Yes","Basic","College","Retired","M",25251,"Suburban","Divorced", 66,13,43,0,2,"Personal Auto","Personal L2","Offer2","Web", 316.800000,"Four-Door Car","Medsize", 4915.590, 2.3453284852, 2.3453284852,0.0008701218,7.969583e-04, 6.921221e-02, 5.135800e-02,-2.778704e-03,-2.726543e-02,-2.643854e-02,-2.019259e-02,-7.587431e-03,0.9901620
"137", 9618.311,"No","Basic","High School or Below","Employed","F",80536,"Rural","Married",119, 5,83,0,3,"Special Auto","Special L2","Offer1","Branch",  53.798708,"Sports Car","Medsize", 7398.067, 0.7569559809, 0.7569559809,0.0016028975,1.533439e-04, 3.032996e-02,-1.305512e-02,-1.463549e-02,-9.327497e-03, 2.309508e-02, 3.889794e-04,-1.752194e-02,1.0026293
"143", 9047.119,"No","Extended","High School or Below","Unemployed","F",    0,"Suburban","Single",127,30,11,0,6,"Personal Auto","Personal L2","Offer3","Branch",1087.995426,"Sports Car","Medsize", 8262.541, 0.2677158085, 0.2677158085,0.0034928809,4.188523e-05, 1.584987e-02,-1.019153e-02,-5.650046e-03, 8.538457e-03, 9.899399e-03, 6.278230e-03,-6.861688e-03,1.0057367
"145", 3731.505,"Yes","Extended","High School or Below","Unemployed","F",    0,"Suburban","Married", 96,31,34,0,1,"Personal Auto","Personal L1","Offer1","Agent", 460.800000,"Four-Door Car","Large", 5423.904,-0.5771090538,-0.5771090538,0.0020892763,1.162477e-04,-2.640645e-02, 1.268491e-03, 6.579504e-03,-1.942378e-02,-6.735493e-03, 1.037044e-02, 8.464610e-03,1.0036940
"148", 5011.752,"No","Basic","Bachelor","Employed","F",28859,"Suburban","Divorced", 67,24,51,3,4,"Corporate Auto","Corporate L2","Offer1","Call Center", 321.600000,"Two-Door Car","Medsize", 5584.631,-0.1952184764,-0.1952184764,0.0008390963,5.336218e-06,-5.657299e-03,-2.998091e-03, 2.167591e-04, 2.392863e-03, 1.973896e-03,-1.510073e-03, 6.432263e-04,1.0031460
"149", 7988.258,"No","Extended","High School or Below","Employed","F",77330,"Rural","Married", 99, 0,21,0,3,"Personal Auto","Personal L3","Offer2","Web",  99.257608,"Four-Door Car","Medsize", 6579.798, 0.4799881201, 0.4799881201,0.0008925669,3.431402e-05, 1.434646e-02,-1.716633e-03,-5.952809e-03,-5.843670e-03, 7.107417e-03, 7.270208e-05,-7.472645e-03,1.0027382
"150", 3885.456,"Yes","Premium","College","Unemployed","M",    0,"Suburban","Married",105, 3,92,0,1,"Corporate Auto","Corporate L2","Offer1","Branch", 504.000000,"Four-Door Car","Large", 6553.332,-0.9117463471,-0.9117463471,0.0062641172,8.734035e-04,-7.238832e-02,-1.346991e-02,-5.906749e-02,-3.131647e-02, 1.480551e-02, 1.440526e-02,-7.950975e-04,1.0067099
"156", 2581.111,"No","Basic","High School or Below","Employed","M",29757,"Suburban","Married", 65,13,55,0,1,"Personal Auto","Personal L2","Offer2","Web", 312.000000,"Four-Door Car","Small", 4560.612,-0.6746915161,-0.6746915161,0.0010957395,8.324096e-05,-2.234586e-02,-1.721310e-02, 7.077311e-04, 7.628768e-03, 8.263130e-03, 1.133024e-02, 2.035052e-03,1.0024027
"161", 2287.597,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Married", 63, 1, 5,0,1,"Corporate Auto","Corporate L3","Offer2","Agent", 679.368378,"Two-Door Car","Medsize", 4073.760,-0.6091073636,-0.6091073636,0.0021555995,1.336136e-04,-2.831043e-02,-1.240285e-02,-2.047077e-05,-2.064562e-02, 8.671814e-03, 1.131008e-02, 1.320085e-03,1.0036696
"162", 4475.425,"No","Basic","College","Employed","F",84903,"Urban","Married",111, 7,63,0,1,"Personal Auto","Personal L1","Offer1","Agent", 497.126827,"SUV","Medsize", 7243.457,-0.9442403432,-0.9442403432,0.0025859497,3.852807e-04,-4.807894e-02,-1.082013e-02, 2.693588e-03, 1.088137e-02, 4.382384e-03, 1.399225e-02,-3.648229e-02,1.0028527
"180", 4076.635,"No","Basic","Bachelor","Employed","F",29549,"Suburban","Divorced",104,17,51,0,1,"Personal Auto","Personal L2","Offer2","Call Center", 710.433775,"Sports Car","Small", 6156.237,-0.7088827923,-0.7088827923,0.0012824635,1.075688e-04,-2.540245e-02, 8.050893e-04, 1.031920e-02, 8.214359e-03,-1.301312e-02, 1.140473e-02, 1.260636e-02,1.0024766
"186",13117.522,"No","Basic","High School or Below","Employed","F",84311,"Suburban","Single",111,11,98,4,2,"Personal Auto","Personal L3","Offer3","Call Center", 532.800000,"SUV","Small", 7557.521, 1.8975038337, 1.8975038337,0.0024110104,1.448810e-03, 9.328383e-02, 1.618069e-02,-5.012984e-03,-2.245819e-02,-8.448032e-03,-1.261350e-02, 7.360940e-02,0.9962030
"187", 4574.524,"No","Basic","College","Employed","F",99316,"Suburban","Single",114,26,53,0,1,"Corporate Auto","Corporate L3","Offer2","Branch", 754.358929,"SUV","Medsize", 7366.197,-0.9522999244,-0.9522999244,0.0025696743,3.894107e-04,-4.833609e-02,-8.958878e-03, 3.706703e-03, 1.099465e-02, 2.176327e-03, 1.405978e-02,-3.571096e-02,1.0027997
"192", 2383.732,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Single", 69, 5,40,0,1,"Special Auto","Special L3","Offer4","Branch", 496.800000,"Two-Door Car","Small", 4319.241,-0.6600079768,-0.6600079768,0.0020439013,1.487282e-04,-2.986919e-02,-1.073142e-02, 1.349934e-03,-2.234123e-02, 6.287084e-03, 1.218277e-02, 2.930314e-03,1.0034021
"194", 7920.105,"No","Basic","Bachelor","Employed","F",89284,"Suburban","Married", 67, 7,31,3,2,"Personal Auto","Personal L2","Offer4","Agent", 321.600000,"Two-Door Car","Small", 4956.503, 1.0101026766, 1.0101026766,0.0008530630,1.451871e-04, 2.951490e-02, 2.142893e-02,-1.546523e-03,-1.175001e-02,-1.059412e-02,-8.678318e-03,-3.650161e-03,1.0008052
"196", 3274.195,"No","Extended","Bachelor","Employed","F",31686,"Suburban","Married", 81,11,33,0,1,"Personal Auto","Personal L3","Offer1","Agent", 430.994107,"Four-Door Car","Small", 5215.228,-0.6615280774,-0.6615280774,0.0009460028,6.907902e-05,-2.035636e-02,-9.644339e-03, 4.359253e-03, 7.555251e-03,-2.035455e-04, 1.091665e-02, 6.002193e-03,1.0022946
"203", 2799.748,"No","Basic","High School or Below","Employed","F",65351,"Suburban","Married", 69, 4,54,0,1,"Corporate Auto","Corporate L1","Offer2","Call Center", 481.027516,"Four-Door Car","Medsize", 4724.266,-0.6559258586,-0.6559258586,0.0010287826,7.386310e-05,-2.104942e-02,-1.494110e-02, 1.596646e-03, 7.435146e-03, 5.974317e-03, 1.096722e-02, 2.971690e-03,1.0023954
"204", 7923.137,"No","Basic","College","Unemployed","M",    0,"Suburban","Single",113,20, 1,0,7,"Personal Auto","Personal L2","Offer1","Agent",1124.427734,"SUV","Medsize", 8804.643,-0.3009209805,-0.3009209805,0.0043537322,6.601883e-05,-1.989898e-02, 4.224726e-03, 5.699687e-04,-9.574329e-03, 7.084096e-04,-9.791802e-03,-1.172493e-02,1.0065608
"207", 2924.977,"No","Basic","College","Employed","F",64459,"Urban","Married", 72,16,64,0,1,"Personal Auto","Personal L1","Offer2","Branch", 240.259479,"Four-Door Car","Medsize", 4847.007,-0.6550653532,-0.6550653532,0.0009914811,7.099571e-05,-2.063679e-02,-1.357850e-02, 2.275083e-03, 7.439343e-03, 4.424385e-03, 1.091703e-02, 3.711725e-03,1.0023607
"209", 9277.234,"No","Basic","High School or Below","Employed","F",71416,"Suburban","Divorced",116,10, 0,0,3,"Corporate Auto","Corporate L3","Offer2","Agent", 556.800000,"SUV","Medsize", 8076.152, 0.4096096984, 0.4096096984,0.0023512201,6.592482e-05, 1.988511e-02, 8.920821e-04,-1.705617e-03,-4.990635e-03,-1.382714e-04, 6.606866e-04, 1.517885e-02,1.0043547
"216", 6915.730,"No","Extended","College","Employed","F",96610,"Suburban","Married", 85, 6,23,0,3,"Corporate Auto","Corporate L1","Offer4","Call Center", 520.364752,"Four-Door Car","Large", 6007.009, 0.3096421359, 0.3096421359,0.0006881032,1.100723e-05, 8.125242e-03, 1.854142e-03,-2.338779e-03,-3.738313e-03, 1.183638e-03,-3.160828e-05,-3.179236e-03,1.0028558
"220", 2929.917,"No","Basic","College","Employed","M",98473,"Suburban","Married", 72,19,69,0,1,"Personal Auto","Personal L1","Offer2","Branch", 345.600000,"Four-Door Car","Medsize", 4847.007,-0.6533814887,-0.6533814887,0.0009914811,7.063125e-05,-2.058375e-02,-1.354360e-02, 2.269234e-03, 7.420220e-03, 4.413012e-03, 1.088897e-02, 3.702184e-03,1.0023660
"230", 4960.965,"No","Basic","Bachelor","Disabled","M",18174,"Suburban","Married", 66, 8,16,0,9,"Corporate Auto","Corporate L1","Offer1","Agent", 395.934815,"Four-Door Car","Small", 7114.038,-0.7346192765,-0.7346192765,0.0031496404,2.842393e-04,-4.129313e-02,-1.028717e-03,-2.115928e-04, 1.015873e-02, 7.320590e-03,-3.569537e-02, 1.558860e-03,1.0042651
"234", 5657.032,"No","Premium","Bachelor","Unemployed","F",    0,"Suburban","Married",152,12,89,0,1,"Personal Auto","Personal L3","Offer1","Web", 729.600000,"SUV","Small", 9277.090,-1.2383570284,-1.2383570284,0.0079150522,2.038699e-03,-1.106110e-01, 1.221203e-05,-7.762473e-02,-4.230247e-02, 9.695206e-03, 1.709185e-02,-5.233271e-02,1.0066926
"235", 5061.758,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Married", 68,19,16,0,8,"Personal Auto","Personal L3","Offer3","Call Center", 326.400000,"Two-Door Car","Medsize", 6476.776,-0.4827840403,-0.4827840403,0.0032134990,1.252747e-04,-2.741201e-02, 1.723664e-03, 1.089270e-04,-1.529800e-02, 4.343246e-03,-1.869543e-02, 1.422549e-03,1.0050665
"237",15182.280,"No","Basic","Bachelor","Employed","F",53863,"Rural","Married", 63,12,30,0,2,"Personal Auto","Personal L2","Offer1","Web", 105.765111,"Four-Door Car","Large", 4792.849, 3.5493915443, 3.5493915443,0.0009286791,1.942773e-03, 1.082153e-01, 8.500199e-02,-5.179612e-04,-4.118803e-02,-4.836771e-02,-3.075296e-02,-7.451977e-03,0.9736009
"238",10747.031,"No","Extended","College","Employed","M",66446,"Urban","Divorced",136, 8,77,0,3,"Corporate Auto","Corporate L1","Offer2","Branch", 639.464548,"SUV","Large", 8894.421, 0.6319066268, 0.6319066268,0.0025866663,1.726330e-04, 3.217996e-02,-7.265532e-03,-7.011742e-03,-7.790663e-03, 9.711044e-03, 1.248450e-03, 1.863085e-02,1.0040354
"244", 6408.786,"No","Extended","College","Employed","M",49988,"Suburban","Married", 84, 6,37,5,5,"Personal Auto","Personal L2","Offer2","Web", 566.935022,"Two-Door Car","Large", 6594.224,-0.0631941936,-0.0631941936,0.0009451423,6.299172e-07,-1.943708e-03,-5.149505e-05, 4.289062e-04, 8.020846e-04,-2.158308e-04,-1.024215e-03, 6.048607e-04,1.0033344
"245", 2376.534,"No","Extended","College","Unemployed","F",    0,"Suburban","Single", 91, 2, 8,5,1,"Personal Auto","Personal L1","Offer1","Agent", 436.800000,"Two-Door Car","Medsize", 5219.337,-0.9694776203,-0.9694776203,0.0020132171,3.160098e-04,-4.354324e-02,-1.182836e-03, 9.372856e-03,-3.266326e-02,-7.509004e-03, 1.750834e-02, 1.238297e-02,1.0021614
"254", 7805.313,"Yes","Basic","College","Retired","F",21073,"Suburban","Divorced",106,25,54,1,3,"Personal Auto","Personal L3","Offer1","Agent", 508.800000,"SUV","Small", 7667.017, 0.0471634457, 0.0471634457,0.0024180145,8.989653e-07, 2.321992e-03, 4.251948e-04,-3.294856e-05,-5.712691e-04,-3.862518e-04, 6.752720e-05, 1.926468e-03,1.0048200
"256", 4772.944,"Yes","Extended","High School or Below","Retired","M",20993,"Suburban","Divorced",133,35,90,0,1,"Personal Auto","Personal L3","Offer2","Agent", 638.400000,"SUV","Medsize", 8143.553,-1.1499714894,-1.1499714894,0.0027236908,6.018792e-04,-6.009775e-02, 4.122282e-03, 1.204964e-02, 1.343466e-02,-1.453069e-02, 1.658344e-02,-3.484791e-02,1.0019580
"264", 5457.343,"No","Basic","High School or Below","Employed","M",94731,"Suburban","Married", 67,23,65,0,4,"Personal Auto","Personal L2","Offer2","Agent", 321.600000,"Four-Door Car","Medsize", 5584.631,-0.0433754576,-0.0433754576,0.0008390963,2.634427e-07,-1.256991e-03,-6.661438e-04, 4.816155e-05, 5.316685e-04, 4.385786e-04,-3.355221e-04, 1.429180e-04,1.0032330
