"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred_train","stu_res","stud.del.resids","leverage","cooks_dis","dffits","dfbetas.(Intercept)","dfbetas.Monthly.Premium.Auto","dfbetas.Number.of.Open.Complaints","dfbetas.Number.of.Policies","dfbetas.I(Renew.Offer.Type == ""Offer2"")TRUE","dfbetas.I(Vehicle.Class == ""SUV"")TRUE","cov_ratio"
"18", 3945.242,"No","Basic","College","Medical Leave","M",28855,"Suburban","Married",101,12,59,0,1,"Personal Auto","Personal L2","Offer3","Call Center", 647.442031,"SUV","Medsize", 6776.930,-0.9985412378,-0.9985412378,0.0011830255,1.968290e-04,-3.436530e-02,-1.425126e-02, 9.332930e-03, 5.959023e-03, 1.148399e-02, 9.066581e-03,-2.736258e-02,1.0011874
"19", 5710.333,"No","Basic","College","Employed","M",51148,"Urban","Married", 72, 9, 1,0,7,"Personal Auto","Personal L2","Offer2","Branch", 308.981664,"Four-Door Car","Medsize", 6535.178,-0.2908284141,-0.2908284141,0.0010806842,1.525312e-05,-9.565794e-03, 7.059455e-04, 1.371115e-03, 1.220945e-03,-6.394227e-03,-5.608071e-03, 7.840490e-04,1.0020210
"20", 8162.617,"No","Premium","High School or Below","Employed","F",66140,"Suburban","Married",101,11,21,0,3,"Corporate Auto","Corporate L2","Offer1","Call Center", 484.800000,"Four-Door Car","Small", 6812.481, 0.4758814861, 0.4758814861,0.0003971956,1.499964e-05, 9.486091e-03, 5.096214e-04, 3.587771e-03,-2.974066e-03,-3.508597e-04,-4.554557e-03,-4.588775e-03,1.0011903
"24", 2450.191,"No","Basic","Bachelor","Unemployed","F",    0,"Suburban","Single", 73, 4,44,3,1,"Corporate Auto","Corporate L3","Offer1","Branch", 554.376763,"Four-Door Car","Medsize", 4437.534,-0.7009720647,-0.7009720647,0.0017632176,1.446639e-04,-2.946028e-02,-7.433140e-03, 4.163587e-03,-2.527912e-02, 7.865490e-03, 5.568862e-03, 2.259764e-03,1.0022884
"25", 2392.108,"No","Basic","Bachelor","Disabled","F",17870,"Suburban","Married", 61,30,91,0,1,"Corporate Auto","Corporate L2","Offer2","Branch", 439.200000,"Four-Door Car","Medsize", 4080.557,-0.5952452830,-0.5952452830,0.0007749877,4.580575e-05,-1.657722e-02,-8.136488e-03, 6.196873e-03, 2.639769e-03, 5.891950e-03,-1.018313e-02, 1.291810e-04,1.0014377
"27", 3946.372,"No","Premium","Bachelor","Unemployed","F",    0,"Suburban","Single",111,15,47,0,1,"Personal Auto","Personal L3","Offer1","Agent", 799.200000,"Four-Door Car","Small", 6614.941,-0.9407446245,-0.9407446245,0.0006165183,9.099438e-05,-2.336569e-02,-9.084433e-04,-1.135865e-02, 5.972019e-03, 1.059152e-02, 9.459111e-03, 1.102898e-02,1.0007348
"29",12902.560,"No","Premium","College","Employed","F",86584,"Suburban","Single",111,33,54,2,2,"Personal Auto","Personal L3","Offer1","Call Center", 532.800000,"Four-Door Car","Large", 6639.686, 2.2089753428, 2.2089753428,0.0009657496,7.856464e-04, 6.868042e-02,-1.038738e-02, 2.668451e-02, 4.842758e-02,-1.267194e-02,-1.738391e-02,-2.533213e-02,0.9969984
"30", 3235.360,"No","Extended","Master","Employed","F",75690,"Suburban","Married", 80,17,44,1,1,"Personal Auto","Personal L3","Offer2","Branch", 384.000000,"Four-Door Car","Small", 4792.887,-0.5490784286,-0.5490784286,0.0007420612,3.731912e-05,-1.496289e-02,-2.308320e-03, 8.279879e-04,-5.300096e-03, 5.293253e-03,-1.008704e-02, 2.260451e-03,1.0014589
"31", 2454.584,"No","Basic","College","Employed","M",23158,"Suburban","Married", 63, 4, 6,1,1,"Personal Auto","Personal L2","Offer4","Call Center", 322.294043,"Four-Door Car","Small", 4284.485,-0.6450610003,-0.6450610003,0.0006032543,4.186548e-05,-1.584828e-02,-1.181690e-02, 6.812229e-03,-5.051214e-03, 7.427978e-03, 6.433282e-03, 8.879971e-04,1.0012022
"33", 4715.321,"No","Basic","Bachelor","Unemployed","M",    0,"Urban","Married", 65,19,56,0,3,"Personal Auto","Personal L3","Offer1","Call Center", 308.150890,"Four-Door Car","Medsize", 5177.551,-0.1629214408,-0.1629214408,0.0004287790,1.898004e-06,-3.374335e-03,-2.521884e-03, 1.532141e-03, 1.010128e-03, 1.651568e-04, 1.662762e-03, 3.239967e-04,1.0014270
"36", 5744.230,"No","Basic","High School or Below","Employed","F",68987,"Urban","Married", 71,11,40,0,6,"Personal Auto","Personal L1","Offer1","Branch", 204.475147,"Four-Door Car","Medsize", 6427.569,-0.2408776037,-0.2408776037,0.0006054728,5.859615e-06,-5.928915e-03,-1.742267e-03, 1.522704e-03, 1.465191e-03,-3.596134e-03, 2.194815e-03, 8.031576e-04,1.0015718
"38", 7380.977,"No","Extended","Master","Employed","F",65706,"Suburban","Married", 91,19,86,0,8,"Personal Auto","Personal L3","Offer2","Web", 436.800000,"Four-Door Car","Small", 7723.901,-0.1209250653,-0.1209250653,0.0013387842,3.267735e-06,-4.427540e-03, 1.449267e-03,-5.221348e-04, 5.058075e-04,-3.317701e-03,-2.412543e-03, 8.175778e-04,1.0023518
"39", 3090.034,"No","Extended","Bachelor","Unemployed","M",    0,"Suburban","Single", 90, 7,79,0,1,"Personal Auto","Personal L2","Offer3","Agent", 648.000000,"Two-Door Car","Small", 5661.232,-0.9063497933,-0.9063497933,0.0004756150,6.515020e-05,-1.977092e-02,-8.493033e-03,-1.984284e-03, 5.727044e-03, 1.034971e-02, 9.448357e-03, 6.578112e-03,1.0006588
"41", 2652.062,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Married", 70, 7, 1,1,1,"Corporate Auto","Corporate L3","Offer3","Call Center", 484.318536,"Two-Door Car","Medsize", 4602.388,-0.6874952245,-0.6874952245,0.0005445545,4.292448e-05,-1.604755e-02,-1.066769e-02, 4.995014e-03,-5.376710e-03, 7.879428e-03, 6.771394e-03, 1.969650e-03,1.0010854
"42", 2771.045,"Yes","Basic","College","Employed","F",50071,"Rural","Single", 71, 3,32,0,1,"Corporate Auto","Corporate L3","Offer2","Agent",  18.918935,"Two-Door Car","Medsize", 4534.704,-0.6217379450,-0.6217379450,0.0006991928,4.508267e-05,-1.644590e-02,-6.009589e-03, 3.545809e-03, 2.765721e-03, 6.106204e-03,-1.074563e-02, 1.457017e-03,1.0013287
"43", 3939.006,"Yes","Extended","Bachelor","Employed","F",60021,"Suburban","Married", 99,12,28,0,1,"Personal Auto","Personal L2","Offer2","Agent", 882.871945,"Four-Door Car","Small", 5806.316,-0.6582880137,-0.6582880137,0.0007225571,5.222864e-05,-1.770146e-02, 1.015173e-03,-4.922079e-03, 2.953743e-03, 6.323694e-03,-1.170263e-02, 5.462213e-03,1.0013041
"44",12231.880,"No","Basic","High School or Below","Employed","M",43244,"Suburban","Married",103,15,16,0,2,"Personal Auto","Personal L2","Offer4","Agent", 494.400000,"Sports Car","Medsize", 6577.467, 1.9936946452, 1.9936946452,0.0004479785,2.967545e-04, 4.220701e-02, 4.423912e-03, 1.673562e-02,-1.254944e-02,-1.200312e-02,-1.966872e-02,-2.002657e-02,0.9974053
"45", 2443.665,"No","Basic","College","Employed","M",92834,"Suburban","Married", 61,15,56,0,1,"Special Auto","Special L2","Offer2","Call Center", 292.800000,"Four-Door Car","Large", 4080.557,-0.5770682476,-0.5770682476,0.0007749877,4.305108e-05,-1.607100e-02,-7.888024e-03, 6.007639e-03, 2.559159e-03, 5.712027e-03,-9.872170e-03, 1.252362e-04,1.0014596
"46",12819.103,"No","Premium","Doctor","Disabled","F",10105,"Rural","Married",172, 5, 4,3,3,"Personal Auto","Personal L2","Offer1","Branch",   0.517753,"SUV","Medsize",10201.413, 0.9238341998, 0.9238341998,0.0028406718,4.052324e-04, 4.930856e-02,-2.185081e-02, 2.231192e-02, 3.362651e-02,-1.677238e-05,-4.050907e-03, 1.172064e-02,1.0029993
"47", 4468.511,"No","Basic","Bachelor","Unemployed","M",    0,"Suburban","Single", 73, 7,57,3,5,"Personal Auto","Personal L3","Offer3","Call Center", 579.165954,"Four-Door Car","Medsize", 5740.907,-0.4487803440,-0.4487803440,0.0017371069,5.841942e-05,-1.872081e-02,-1.258793e-03, 2.510323e-03,-1.625968e-02,-4.482136e-03, 2.973017e-03, 1.488438e-03,1.0025599
"48", 5514.344,"No","Basic","High School or Below","Employed","F",23218,"Suburban","Single", 71, 7,10,0,4,"Personal Auto","Personal L2","Offer4","Agent", 447.793440,"Two-Door Car","Medsize", 5775.882,-0.0921826862,-0.0921826862,0.0004014723,5.689197e-07,-1.847415e-03,-1.025915e-03, 5.986089e-04, 5.684182e-04,-3.992280e-04, 9.006465e-04, 3.030535e-04,1.0014182
"49", 3343.875,"No","Extended","Bachelor","Unemployed","F",    0,"Suburban","Married", 92,11,77,0,1,"Corporate Auto","Corporate L2","Offer2","Call Center", 529.624084,"Four-Door Car","Medsize", 5488.413,-0.7560143785,-0.7560143785,0.0006841674,6.522292e-05,-1.978153e-02,-9.524619e-04,-3.161619e-03, 3.384884e-03, 7.302981e-03,-1.334633e-02, 5.147659e-03,1.0011239
"50", 2294.479,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Married", 62,11,56,0,1,"Personal Auto","Personal L2","Offer4","Branch", 313.023175,"Four-Door Car","Medsize", 4389.620,-0.7385646871,-0.7385646871,0.0005915309,5.381383e-05,-1.796825e-02,-1.519851e-02, 8.116762e-03, 4.638619e-03, 8.593045e-03, 8.064495e-03, 9.634582e-04,1.0010578
"53", 7983.432,"No","Basic","High School or Below","Employed","F",36014,"Rural","Married", 69, 4,40,3,2,"Special Auto","Special L1","Offer4","Branch", 173.956072,"Four-Door Car","Medsize", 4581.718, 1.1999045344, 1.1999045344,0.0016980596,4.081319e-04, 4.948712e-02, 1.230613e-02,-9.283480e-03, 4.332780e-02,-7.138579e-03,-9.221146e-03,-2.874823e-03,1.0012499
"54", 4854.746,"No","Basic","Bachelor","Employed","M",29834,"Suburban","Single", 64,19,44,0,3,"Personal Auto","Personal L3","Offer4","Agent", 307.200000,"Four-Door Car","Medsize", 5132.136,-0.0977717543,-0.0977717543,0.0004378489,6.980129e-07,-2.046306e-03,-1.552561e-03, 9.654835e-04, 6.060618e-04, 9.986443e-05, 9.995790e-04, 1.736486e-04,1.0014535
"56", 7164.396,"No","Extended","College","Employed","F",46623,"Suburban","Divorced", 91, 1,53,0,3,"Corporate Auto","Corporate L3","Offer3","Call Center", 436.800000,"Four-Door Car","Small", 6358.334, 0.2841015760, 0.2841015760,0.0003483998,4.689142e-06, 5.303814e-03, 1.441247e-03, 8.047712e-04,-1.771562e-03,-2.312721e-04,-2.769116e-03,-2.135414e-03,1.0012909
"57", 7619.516,"No","Basic","College","Employed","M",64749,"Urban","Married", 64,24,59,0,2,"Special Auto","Special L2","Offer2","Branch", 302.565190,"Four-Door Car","Medsize", 4542.644, 1.0847390395, 1.0847390395,0.0006710753,1.316888e-04, 2.810973e-02, 1.141025e-02,-9.666648e-03,-4.769162e-03,-4.963352e-03, 1.897126e-02,-9.525646e-04,1.0004905
"59", 4499.493,"No","Extended","High School or Below","Disabled","F",16969,"Suburban","Divorced",124,34,47,2,1,"Personal Auto","Personal L3","Offer1","Call Center", 704.768111,"SUV","Medsize", 7520.370,-1.0654661747,-1.0654661747,0.0015557795,2.948101e-04,-4.205831e-02,-1.431997e-03,-1.491811e-03,-2.369395e-02, 1.182887e-02, 7.264198e-03,-2.428831e-02,1.0014195
"60", 4059.567,"No","Premium","Master","Disabled","F",11621,"Suburban","Divorced",108, 4,98,0,1,"Personal Auto","Personal L1","Offer1","Agent", 518.400000,"Four-Door Car","Medsize", 6478.697,-0.8527851222,-0.8527851222,0.0005844326,7.088210e-05,-2.062214e-02,-1.847497e-03,-9.092263e-03, 5.410024e-03, 9.620705e-03, 8.619677e-03, 9.453621e-03,1.0008644
"61", 4458.113,"Yes","Basic","Bachelor","Retired","M",17622,"Suburban","Divorced", 65, 1,36,1,3,"Personal Auto","Personal L1","Offer1","Agent", 312.000000,"Four-Door Car","Medsize", 5027.001,-0.2005178840,-0.2005178840,0.0004529159,3.036969e-06,-4.268352e-03,-2.731096e-03, 1.894011e-03,-1.586372e-03, 1.808106e-04, 1.860339e-03, 3.705911e-04,1.0014372
"62", 8110.333,"No","Premium","Bachelor","Medical Leave","F",11489,"Suburban","Married",105, 4,50,0,6,"Personal Auto","Personal L3","Offer1","Call Center", 504.000000,"Two-Door Car","Small", 7971.669, 0.0488802156, 0.0488802156,0.0006592226,2.627287e-07, 1.255430e-03,-3.116673e-04, 4.732772e-04,-2.996227e-04, 7.425296e-04,-4.160789e-04,-5.163783e-04,1.0016827
"66", 2930.694,"No","Basic","College","Employed","M",33663,"Suburban","Married", 73,29,71,0,1,"Personal Auto","Personal L3","Offer3","Web", 350.400000,"Four-Door Car","Medsize", 4889.182,-0.6903587380,-0.6903587380,0.0005045871,4.010445e-05,-1.551145e-02,-1.116646e-02, 4.012404e-03, 4.346132e-03, 7.973517e-03, 7.403849e-03, 2.515188e-03,1.0010414
"67", 8672.194,"No","Basic","College","Employed","F",22547,"Suburban","Divorced",112, 7,60,0,3,"Corporate Auto","Corporate L3","Offer1","Agent", 537.600000,"SUV","Medsize", 7928.178, 0.2623160820, 0.2623160820,0.0009836041,1.129316e-05, 8.230928e-03, 1.565739e-03,-1.047711e-03,-1.547180e-03,-2.138158e-04,-2.157611e-03, 6.561564e-03,1.0019398
"68",11638.669,"No","Extended","High School or Below","Employed","F",61486,"Urban","Married", 97, 5,65,0,2,"Personal Auto","Personal L3","Offer4","Branch", 465.258644,"Two-Door Car","Small", 6304.979, 1.8805035075, 1.8805035075,0.0004085609,2.407927e-04, 3.801818e-02, 8.688405e-03, 1.047482e-02,-1.182118e-02,-1.140806e-02,-1.875068e-02,-1.649027e-02,0.9978138
"69", 6846.150,"Yes","Extended","Bachelor","Unemployed","F",    0,"Suburban","Divorced", 95,13,20,0,5,"Personal Auto","Personal L3","Offer1","Call Center", 456.000000,"Two-Door Car","Large", 7191.679,-0.1217896847,-0.1217896847,0.0004582585,1.133581e-06,-2.607746e-03, 5.171920e-05,-5.953533e-04, 7.499076e-04,-1.195228e-03, 1.098234e-03, 1.024701e-03,1.0014686
"70",11727.776,"No","Premium","College","Disabled","F",29879,"Suburban","Married",102,17, 0,0,2,"Personal Auto","Personal L3","Offer3","Web", 500.254235,"Four-Door Car","Medsize", 6532.052, 1.8318614544, 1.8318614544,0.0004403018,2.462641e-04, 3.844709e-02, 4.797964e-03, 1.451491e-02,-1.152821e-02,-1.104282e-02,-1.810440e-02,-1.801140e-02,0.9980300
"73", 2451.753,"No","Basic","Master","Medical Leave","M",26840,"Suburban","Married", 64, 1,47,2,1,"Personal Auto","Personal L1","Offer1","Agent", 307.200000,"Four-Door Car","Medsize", 4179.351,-0.6091203892,-0.6091203892,0.0010134334,6.273895e-05,-1.940086e-02,-9.784189e-03, 6.172398e-03,-1.336795e-02, 6.942628e-03, 5.499698e-03, 8.826202e-04,1.0016596
"77", 5592.161,"No","Basic","High School or Below","Employed","F",71811,"Rural","Single", 71,17,48,0,6,"Personal Auto","Personal L1","Offer2","Call Center",  29.034160,"Four-Door Car","Medsize", 6163.920,-0.2015729456,-0.2015729456,0.0008806695,5.970078e-06,-5.984530e-03, 1.570006e-05, 1.062544e-03, 8.543535e-04,-3.361557e-03,-3.816528e-03, 4.958219e-04,1.0018655
"79",11318.090,"No","Extended","College","Employed","M",38923,"Rural","Married", 99, 6,83,2,2,"Personal Auto","Personal L3","Offer1","Agent", 115.728852,"Four-Door Car","Medsize", 6094.709, 1.8420061050, 1.8420061050,0.0008612770,4.872710e-04, 5.408161e-02, 1.872834e-04, 1.184475e-02, 4.041083e-02,-1.073600e-02,-1.488519e-02,-1.642200e-02,0.9984124
"82", 5780.182,"Yes","Basic","High School or Below","Employed","M",51066,"Suburban","Single", 74,23, 0,0,8,"Personal Auto","Personal L3","Offer2","Call Center", 787.993313,"Four-Door Car","Medsize", 6951.851,-0.4131687561,-0.4131687561,0.0013337405,3.800285e-05,-1.509917e-02, 2.139322e-03, 1.523311e-03, 1.718523e-03,-1.128172e-02,-8.119051e-03, 1.299377e-03,1.0021865
"83", 4118.539,"No","Basic","Doctor","Employed","M",34378,"Suburban","Married",102,12,54,0,1,"Personal Auto","Personal L1","Offer3","Branch", 489.600000,"SUV","Medsize", 6822.345,-0.9534345428,-0.9534345428,0.0011744561,1.781494e-04,-3.269373e-02,-1.322571e-02, 8.462395e-03, 5.691128e-03, 1.095786e-02, 8.640160e-03,-2.592364e-02,1.0012691
"84", 2523.070,"No","Basic","Master","Employed","M",43072,"Suburban","Married", 63,35,15,0,1,"Personal Auto","Personal L3","Offer2","Call Center", 302.400000,"Four-Door Car","Large", 4171.386,-0.5810906077,-0.5810906077,0.0007562860,4.259908e-05,-1.598642e-02,-7.477717e-03, 5.502384e-03, 2.578574e-03, 5.742863e-03,-9.961392e-03, 3.732465e-04,1.0014360
"85", 6554.216,"No","Extended","College","Disabled","F",25222,"Suburban","Single", 90,28,69,0,3,"Personal Auto","Personal L3","Offer2","Agent", 475.623251,"Four-Door Car","Small", 6049.270, 0.1779916844, 0.1779916844,0.0005844908,3.088528e-06, 4.304428e-03,-3.269604e-04, 6.075334e-04,-7.814140e-04, 1.643205e-04, 3.253129e-03,-1.144445e-03,1.0015778
"86", 7703.397,"No","Basic","High School or Below","Employed","M",36765,"Suburban","Married", 66,15,32,1,2,"Personal Auto","Personal L2","Offer1","Call Center", 320.849072,"Four-Door Car","Medsize", 4746.573, 1.0423101921, 1.0423101921,0.0004817826,8.727637e-05, 2.288375e-02, 1.581048e-02,-9.444908e-03, 8.200948e-03,-6.454752e-03,-9.995641e-03,-2.123815e-03,1.0003935
"87", 5926.729,"Yes","Extended","College","Retired","M",23091,"Suburban","Married", 96,28,90,5,5,"Personal Auto","Personal L1","Offer1","Agent", 460.800000,"Four-Door Car","Medsize", 6484.346,-0.1969511647,-0.1969511647,0.0045705103,2.968871e-05,-1.334552e-02, 1.997360e-03,-1.016881e-03,-1.270965e-02,-2.048891e-03, 8.600846e-04, 1.563801e-03,1.0055811
"88", 2683.471,"No","Basic","Bachelor","Employed","F",48269,"Urban","Married", 69, 3,79,3,1,"Corporate Auto","Corporate L2","Offer3","Web", 282.151207,"Four-Door Car","Medsize", 4255.875,-0.5546141442,-0.5546141442,0.0017891002,9.189552e-05,-2.347995e-02,-6.769725e-03, 4.339137e-03,-2.000434e-02, 6.240359e-03, 4.445337e-03, 1.315965e-03,1.0025031
"89", 2695.182,"No","Basic","Bachelor","Employed","F",32720,"Suburban","Divorced", 67,13,12,0,1,"Personal Auto","Personal L2","Offer3","Branch", 321.600000,"Four-Door Car","Medsize", 4616.694,-0.6773372249,-0.6773372249,0.0005453684,4.172782e-05,-1.582226e-02,-1.258270e-02, 5.849659e-03, 4.258643e-03, 7.854488e-03, 7.336033e-03, 1.603671e-03,1.0011005
"90", 6047.025,"Yes","Extended","College","Employed","M",20396,"Suburban","Married", 76,15,60,1,4,"Personal Auto","Personal L3","Offer1","Branch", 364.800000,"Four-Door Car","Medsize", 5852.406, 0.0685959436, 0.0685959436,0.0004013534,3.149348e-07, 1.374514e-03, 4.986213e-04,-2.868546e-04, 5.445195e-04, 3.073947e-04,-6.004686e-04,-2.887942e-04,1.0014220
"91",13171.013,"No","Premium","College","Medical Leave","M",21513,"Suburban","Married",119,21,81,1,2,"Personal Auto","Personal L3","Offer2","Branch", 679.827592,"Two-Door Car","Small", 6889.904, 2.2153974864, 2.2153974864,0.0009526494,7.794881e-04, 6.841088e-02,-2.959228e-02, 3.752578e-02, 2.136097e-02,-8.954179e-03, 4.295804e-02,-2.754769e-02,0.9969564
"93", 2527.654,"No","Basic","Bachelor","Employed","F",80744,"Rural","Married", 63,24,84,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",  11.879037,"Four-Door Car","Medsize", 4435.035,-0.6723680155,-0.6723680155,0.0005814127,4.383697e-05,-1.621719e-02,-1.356710e-02, 7.072753e-03, 4.223770e-03, 7.817658e-03, 7.329786e-03, 1.020067e-03,1.0011435
"94", 2672.096,"No","Basic","Bachelor","Employed","M",52822,"Suburban","Married", 67,23,88,0,1,"Corporate Auto","Corporate L1","Offer1","Branch", 350.529033,"Two-Door Car","Small", 4616.694,-0.6854759763,-0.6854759763,0.0005453684,4.273655e-05,-1.601237e-02,-1.273389e-02, 5.919947e-03, 4.309814e-03, 7.948866e-03, 7.424182e-03, 1.622941e-03,1.0010891
"99", 5745.943,"No","Basic","Bachelor","Employed","F",57740,"Urban","Married", 74,30,87,3,9,"Personal Auto","Personal L1","Offer3","Web", 269.905129,"Four-Door Car","Medsize", 7089.694,-0.4741544785,-0.4741544785,0.0026042840,9.785134e-05,-2.422871e-02, 2.558966e-03, 2.265876e-03,-1.726568e-02,-1.480153e-02, 2.508081e-03, 1.718275e-03,1.0034075
"100", 6066.116,"No","Extended","College","Employed","M",32627,"Suburban","Married", 76,11,60,0,7,"Personal Auto","Personal L2","Offer1","Agent", 380.036697,"Two-Door Car","Small", 6980.486,-0.3223435434,-0.3223435434,0.0007678659,1.330982e-05,-8.935697e-03,-1.058351e-03, 1.251298e-03, 1.949546e-03,-6.533373e-03, 2.802619e-03, 1.425095e-03,1.0016875
"101", 8002.308,"Yes","Basic","College","Unemployed","F",    0,"Suburban","Married",107, 3,65,0,3,"Personal Auto","Personal L3","Offer1","Agent", 513.600000,"SUV","Medsize", 7701.105, 0.1061954388, 0.1061954388,0.0010079246,1.896705e-06, 3.373175e-03, 8.464516e-04,-6.741364e-04,-6.256326e-04,-9.064004e-05,-8.828611e-04, 2.769328e-03,1.0020233
"102", 2393.915,"Yes","Basic","College","Unemployed","M",    0,"Suburban","Single", 70,24,10,0,1,"Personal Auto","Personal L1","Offer1","Branch", 425.266308,"Four-Door Car","Medsize", 4752.938,-0.8315681516,-0.8315681516,0.0005229850,6.030922e-05,-1.902199e-02,-1.444913e-02, 6.007361e-03, 5.231723e-03, 9.623705e-03, 8.962356e-03, 2.499247e-03,1.0008395
"103", 4762.818,"No","Basic","Bachelor","Employed","M",65795,"Rural","Single", 62, 2,85,1,3,"Corporate Auto","Corporate L3","Offer3","Call Center",  49.011099,"Two-Door Car","Medsize", 4890.757,-0.0450956862,-0.0450956862,0.0004815705,1.633284e-07,-9.898503e-04,-6.683686e-04, 4.896367e-04,-3.569603e-04, 4.170301e-05, 4.207753e-04, 5.458075e-05,1.0015051
"104", 4330.386,"Yes","Premium","College","Employed","M",60475,"Suburban","Married",107, 9,18,0,1,"Personal Auto","Personal L3","Offer2","Branch", 513.600000,"Four-Door Car","Medsize", 6169.634,-0.6484174189,-0.6484174189,0.0007930014,5.561853e-05,-1.826686e-02, 3.076485e-03,-7.290328e-03, 2.916704e-03, 6.189256e-03,-1.161907e-02, 6.483612e-03,1.0013879
